season,week,home_team,away_team,home_points,away_points,spread,over_under,neutral_site,home_conference,away_conference,venue
2023,1,Manchester,North Park,0,27,,,False,Heartland,CCIW,Carl W. Burt Memorial Stadium
2023,1,Georgia,UT Martin,48,7,,,False,SEC,Big South-OVC,Sanford Stadium
2023,1,Richmond,Morgan State,10,17,,,False,CAA,MEAC,E. Claiborne Robins Stadium
2023,1,USC,Nevada,66,14,,,False,Pac-12,Mountain West,Los Angeles Memorial Coliseum
2023,1,Florida International,Maine,14,12,,,False,Conference USA,CAA,FIU Stadium
2023,1,Illinois College,Millikin,31,0,,,False,Midwest,CCIW,England Stadium
2023,1,Southern Illinois,Austin Peay,49,23,,,False,MVFC,UAC,Saluki Stadium
2023,1,Oklahoma Panhandle St,Southwest Baptist,7,65,,,True,Independent DII,Great Lakes,
2023,1,Valdosta State,Point University,63,10,,,False,Gulf South,,Bazemore-Hyder Stadium
2023,1,Memphis,Bethune-Cookman,56,14,,,False,American Athletic,SWAC,Simmons Bank Liberty Stadium
2023,1,Simpson College (IA),Augustana (IL),27,49,,,False,American Rivers,CCIW,Bill Buxton Stadium
2023,1,Houston,UTSA,17,14,,,False,Big 12,American Athletic,TDECU Stadium
2023,1,Oklahoma State,Central Arkansas,27,13,,,False,Big 12,UAC,Boone Pickens Stadium
2023,1,North Alabama,Chattanooga,41,27,,,False,UAC,Southern,Braly Municipal Stadium
2023,1,Anna Maria College,Westfield State,51,27,,,False,ECFC,MSCAC,Caparso Field
2023,1,Texas A&M,New Mexico,52,10,,,False,SEC,Mountain West,Kyle Field
2023,1,UL Monroe,Army,17,13,,,False,Sun Belt,FBS Independents,Malone Stadium
2023,1,Southern Miss,Alcorn State,40,14,,,False,Sun Belt,SWAC,M. M. Roberts Stadium
2023,1,Troy,Stephen F. Austin,48,30,,,False,Sun Belt,UAC,Veterans Memorial Stadium (AL)
2023,1,Colorado State,Washington State,24,50,,,False,Mountain West,Pac-12,Canvas Stadium
2023,1,Loras College,Benedictine University,42,41,,,False,American Rivers,NACC,Rock Bowl
2023,1,Baylor,Texas State,31,42,,,False,Big 12,Sun Belt,McLane Stadium
2023,1,Thiel,Case Western Reserve,0,14,,,False,Presidents',Presidents',Alumni Stadium (PA)
2023,1,Kansas State,Southeast Missouri State,45,0,,,False,Big 12,Big South-OVC,Bill Snyder Family Stadium
2023,1,Bluffton,Kenyon,51,35,,,False,Heartland,North Coast,Alumni Field (OH)
2023,1,Murray State,Presbyterian,41,10,,,False,MVFC,Pioneer,Roy Stewart Stadium
2023,1,Vanderbilt,Alabama A&M,47,13,,,False,SEC,SWAC,FirstBank Stadium
2023,1,Rose-Hulman,Depauw,21,33,,,False,Heartland,North Coast,Cook Stadium
2023,1,Houston Christian,Little Rock,66,0,,,False,Southland,,Husky Stadium
2023,1,Wisconsin-Lutheran,Lake Forest College,0,24,,,False,NACC,Midwest,Warrior Field at Raabe Stadium
2023,1,LAKELAND,Savannah St,20,23,,,True,,SIAC,
2023,1,UVA Wise,Union College,48,0,,,False,South Atlantic,,Carl Smith Stadium
2023,1,Eureka College,Knox College,41,16,,,False,NACC,Midwest,Pete FioRito Stadium at McKinzie Field
2023,1,Macalester,Minnesota Morris,44,30,,,False,Minnesota,Upper Midwest,Macalester Stadium
2023,1,Wyoming,Texas Tech,35,33,,,False,Mountain West,Big 12,War Memorial Stadium
2023,1,Louisiana,Northwestern State,38,13,,,False,Sun Belt,Southland,Cajun Field
2023,1,Geneva,Carnegie Mellon,0,31,,,False,Presidents',Presidents',Reeves Field (PA)
2023,1,Alabama,Middle Tennessee,56,7,,,False,SEC,Conference USA,Bryant-Denny Stadium
2023,1,Penn State,West Virginia,38,15,,,False,Big Ten,Big 12,Beaver Stadium
2023,1,North Carolina,South Carolina,31,17,,,True,ACC,SEC,Bank of America Stadium
2023,1,Illinois,Toledo,30,28,,,False,Big Ten,Mid-American,"Memorial Stadium (Champaign, IL)"
2023,1,Adams State,Lincoln (CA),35,16,,,False,Rocky Mountain,,Rex Stadium
2023,1,CSU Pueblo,Midwestern State,37,8,,,False,Rocky Mountain,Lone Star,Neta and Eddie DeRose ThunderBowl
2023,1,Virginia Tech,Old Dominion,36,17,,,False,ACC,Sun Belt,Lane Stadium
2023,1,NEWBERG,Howard Payne,3,17,,,False,Northwest,American Southwest,Stoffer Family Stadium
2023,1,Western New Mexico,Sul Ross State,42,28,,,False,Lone Star,American Southwest,Ben Altamirano Field
2023,1,Tulane,South Alabama,37,17,,,False,American Athletic,Sun Belt,Yulman Stadium
2023,1,Wartburg,Monmouth (IL),62,35,,,False,American Rivers,Midwest,Walston-Hoover Stadium
2023,1,McNeese,Tarleton State,34,52,,,False,Southland,UAC,Cowboy Stadium
2023,1,UTEP,Incarnate Word,28,14,,,False,Conference USA,Southland,Sun Bowl
2023,1,New Mexico State,Western Illinois,58,21,,,False,Conference USA,MVFC,Aggie Memorial Stadium
2023,1,Arizona,Northern Arizona,38,3,,,False,Pac-12,Big Sky,Arizona Stadium
2023,1,Pacific (OR),Chapman,0,0,,,False,Northwest,So. Cal.,Hanson Stadium
2023,1,BYU,Sam Houston,14,0,,,False,Big 12,Conference USA,LaVell Edwards Stadium
2023,1,San Diego State,Idaho State,36,28,,,False,Mountain West,Big Sky,Snapdragon Stadium
2023,1,UCLA,Coastal Carolina,27,13,,,False,Pac-12,Sun Belt,Rose Bowl
2023,1,Rutgers,Northwestern,24,7,,,False,Big Ten,Big Ten,SHI Stadium
2023,1,Florida A&M,Jackson State,28,10,,,True,SWAC,SWAC,Hard Rock Stadium
2023,1,San José State,Oregon State,17,42,,,False,Mountain West,Pac-12,CEFCU Stadium
2023,1,Morehouse College,Virginia Union,13,45,,,True,SIAC,CIAA,Tom Benson Hall of Fame Stadium
2023,1,Tuskegee,Fort Valley State,37,31,,,True,SIAC,SIAC,Cramton Bowl
2023,1,Florida State,LSU,45,24,,,True,ACC,SEC,Camping World Stadium
2023,1,Duke,Clemson,28,7,,,False,ACC,ACC,Wallace Wade Stadium
