season,week,home_team,away_team,home_points,away_points,spread,over_under,neutral_site,home_conference,away_conference,venue
2023,1,Missouri Southern State,Northwest Missouri St,24,31,,,False,Mid America,Mid America,Fred G. Hughes Stadium
2023,1,Emporia State University,Lincoln (MO),56,10,,,False,Mid America,Independent DII,Francis G. Welch Stadium
2023,1,Tulsa,Arkansas-Pine Bluff,42,7,,,False,American Athletic,SWAC,Chapman Stadium
2023,1,Weber State,Central Washington,35,10,,,False,Big Sky,Lone Star,Stewart Stadium
2023,1,Eastern New Mexico,New Mexico Highlands,28,26,,,False,Lone Star,Rocky Mountain,Al Whitehead Field at Greyhound Stadium
2023,1,Oklahoma Baptist,Arkansas Tech,23,21,,,False,Great American,Great American,Crain Family Stadium
2023,1,Henderson State,East Central (OK),41,13,,,False,Great American,Great American,Ruggles Field at Carpenter-Haygood Stadium
2023,1,Colorado School Of Mines,Grand Valley State University,31,28,,,False,Rocky Mountain,GLIAC,Marv Kay Stadium at Campbell Field
2023,1,Dakota State University,Wisconsin-Lacrosse,6,31,,,True,,Wisconsin,Trojan Stadium
2023,1,UAB,North Carolina A&T,35,6,,,False,American Athletic,CAA,Protective Stadium
2023,1,South Dakota State,Western Oregon,45,7,,,False,MVFC,Lone Star,Dana J. Dykhouse Stadium
2023,1,Beloit,Rockford,34,27,,,False,Midwest,NACC,Strong Stadium
2023,1,Missouri,South Dakota,35,10,,,False,SEC,MVFC,Memorial Stadium
2023,1,Arizona State,Southern Utah,24,21,,,False,Pac-12,UAC,Mountain America Stadium
2023,1,West Florida,Kentucky Wesleyan,35,3,,,True,Gulf South,Great Midwest Athletic,Blue Wahoos Stadium
2023,1,Nichols College,UMass Dartmouth,6,57,,,False,Commonwealth Coast,MSCAC,Vendetti Field
2023,1,Eastern Michigan,Howard,33,23,,,False,Mid-American,MEAC,Rynearson Stadium
2023,1,Muhlenberg,Moravian,53,12,,,False,Centennial,Landmark Conference,Scotty Wood Stadium
2023,1,Curry College,Salve Regina,0,48,,,False,Commonwealth Coast,Commonwealth Coast,Walter M. Katz Field
2023,1,Alfred University,Hobart College,9,31,,,False,Empire 8,Liberty League,Merrill Field at Yunevich Stadium
2023,1,Lebanon Valley,Franklin & Marshall,12,16,,,False,Mid Atlantic,Centennial,Arnold Field (PA)
2023,1,Michigan State,Central Michigan,31,7,,,False,Big Ten,Mid-American,Spartan Stadium
2023,1,Catholic,McDaniel College,34,7,,,False,Landmark Conference,Centennial,Cardinal Stadium (DC)
2023,1,Miami,Miami (OH),38,3,,,False,ACC,Mid-American,Hard Rock Stadium
2023,1,Worcester Polytechnic Institute,Worcester St,44,13,,,False,NEWMAC,MSCAC,"Alumni Stadium (Worcester, MA)"
2023,1,Georgia Tech,Louisville,34,39,,,True,ACC,ACC,Mercedes-Benz Stadium
2023,1,Ursinus,Reading,38,6,,,False,Centennial,Mid Atlantic,Patterson Field
2023,1,Hardin-Simmons,Albright,47,3,,,False,American Southwest,Mid Atlantic,Shelton Stadium
2023,1,South Dakota Mines,Valley City State,31,14,,,False,Rocky Mountain,,O'Harra Stadium
2023,1,Kansas,Missouri State,48,17,,,False,Big 12,MVFC,Memorial Stadium
2023,1,Hawai'i,Stanford,24,37,,,False,Mountain West,Pac-12,Clarence T.C. Ching Athletics Complex
2023,1,North Carolina Central,Winston-Salem,47,21,,,False,MEAC,CIAA,O'Kelly-Riddick Stadium
2023,1,Holy Cross,Merrimack,42,20,,,False,Patriot,NEC,Fitton Field
2023,1,Lehigh,Villanova,10,38,,,False,Patriot,CAA,Goodman Stadium
2023,1,St. Thomas (MN),Black Hills State,36,26,,,False,Pioneer,Rocky Mountain,O'Shaughnessy Stadium
2023,1,Mississippi Valley State,Central State (OH),21,24,,,True,SWAC,SIAC,Soldier Field
2023,1,Texas Southern,Prairie View A&M,34,37,,,False,SWAC,SWAC,BBVA Compass Stadium
2023,1,UT Permian Basin,Texas College,96,0,,,False,Lone Star,,Ratliff Stadium
2023,1,Findlay,Truman State,10,20,,,False,Great Midwest Athletic,Great Lakes,Donnell Stadium
2023,1,Lake Erie,Franklin Pierce,10,26,,,False,Great Midwest Athletic,Northeast 10,Jack Britt Memorial Stadium
2023,1,Cal Poly,San Diego,27,10,,,False,Big Sky,Pioneer,Alex G. Spanos Stadium
2023,1,Montana State,Utah Tech,63,20,,,False,Big Sky,UAC,Bobcat Stadium
2023,1,Duquesne,Edinboro University,49,7,,,False,NEC,Pennsylvania State Athletic,Arthur J. Rooney Athletic Field
2023,1,Central Connecticut,American International,44,0,,,False,NEC,Northeast 10,Arute Field
2023,1,VMI,Davidson,12,7,,,False,Southern,Pioneer,Alumni Memorial Field
2023,1,Nicholls,Sacramento State,24,38,,,False,Southland,Big Sky,Manning Field at John L. Guidry Stadium
2023,1,Westminster College (MO),Rhodes College,0,47,,,False,Upper Midwest,Southern Athletic,Blue Jay Stadium
2023,1,Western Colorado,West Texas A&M,28,6,,,False,Rocky Mountain,Lone Star,Mountaineer Bowl
2023,1,Concord University,Emory & Henry College,10,56,,,False,Mountain East,South Atlantic,Callaghan Stadium
